ايالاتمتحده :  ايالات متحده  
بهگزارشخبرگزاريجمهورياسلاميازنيويورك :  خطا 
بهسبببرگردانكابلمركزتلفنشهيدنصراللهي :  خطا 
هيجانوجدالبودواحدرسانههايخارجيهمشهري :  هيجان وجدال بودو احد رسانه هاي خارجيه مشهري  
ايناجلاسدوماهديگردرويسبيتشكيلخواهدشد :  خطا 
حضورزناندراركانمختلفجامعهبهمصلحتنظام :  خطا 
چرنوميردينرامامورتشكيلكابينهكرديلتسين :  خطا 
اينافرادبهدرخواستژنراللبدبركنارشدهاند :  خطا 
اينمراكزفرهنگيدرمناطقمحروميچونقيامدشت :  خطا 
علتبرخوردهواپيمابهتپههنوزاعلامنشدهاست :  علت برخورده واپ يما بهت په هنوزاعلام نشدها ست  
مشهدازتهرانومشهدطبقبرنامهاعزامخواهدشد :  مشهداز تهرانو مشهد طبق برنامها عزام خواهدشد  
بهمناسبتبرپاييششمينهمايشجهانيزرتشتيان :  بهمن اسبت برپايي ششمين همايش جهاني زرتشتيان  
بسياريازاينكتابهاكميابودستنويسبودهاست :  خطا 
چيندرمنعاستخدامافراديكفاميلدريكسازمان :  خطا 
ازروياينپلهرروزهزاراناتومبيلعبورميكرد :  خطا 
شبشعريباحضورشعرايبرجستهبرگزارخواهدكرد :  خطا 
درگيريهايخونيندرباكوصدهاكشتهبرجاگذارد :  خطا 
دربازديديازبيوركودرشمالغربيسنپطرزبورگ :  خطا 
كميتهفنيفدراسيونكشتيحسينمحمديشيركلاهي :  خطا 
ازنيكلايدومتزارروسيهخواستباژاپنصلحكند :  خطا 
ازواحدرسانههايخارجيريشهكنكردنجرمدرچين :  خطا 
انگشتقطعشدومصدومبهبيمارستانانتقاليافت :  انگشت قطعش دوم صبه بيمارستان انتقالي افت  
ازواحدرسانههايخارجيسقوطاتوبوسبهرودخانه :  ازواحد رسانه هاي خارجي سقوطاتوبوس بهرود خانه  
چرخبالهايتركبهحريمهواييايرانتجاوزكردند :  خطا 
ويازامروزكارخودرادرتيماستقلالشروعميكند :  خطا 
دوايستگاهجديددرمسجدالغديرواقعدرتهرانسر :  دوايستگاه جديددر مسجدالغدير واقعد رتهران سر  
حتيبرخيواحدهاراكهدرالمپيادهاگذراندهاند :  خطا 
گلبدينحكمتيارنخستوزيرافغانستاناعلامكرد :  خطا 
عصرروزيكشنبهدرجريانيكمراسمدرشهرتونجعلي :  خطا 
همايشبزرگنوجوانانايرانيدوستدارمحيطزيست :  همايش بزرگن وجوانان ايرانيد وستد ارم حي ط زيست  
بهگزارشادارهكلاطلاعاتواخباررياستجمهوري :  خطا 
ابرزباخاخيراسعيدراستفادهبيشترازروشنايي :  ابرزباخ اخيرا سعيد راستف اده بيشتراز روشنايي  
شهرداريوادارهبهداشتمتاسفانهبازگشايينشد :  شهرداري واداره بهداشتم تاسفانه بازگشايي نشد  
براثرتوفانوجاريشدنسيلدرايالتراجستانهند :  براثر توفان وجاري شدن سيل درايالت راجستان هند  
ديروزچهاركودكراكهازعرضريلهاعبورميكردند :  خطا 
بارانهايتابستانيدرمناطقكوهستانيكشورچين :  خطا 
سهمفعاليتهايانسانيدرتوليدسربموجوددرهوا :  سهم فعاليتهاي انسانيد رتو ليد سرب موجوددر هوا  
كيمانهمچنينيكمركزعمدهتوليدميوهوپرورشمرغ :  خطا 
ايجادبزرگراههاياطلاعاتيبينكشورهاياسلامي :  خطا 
روزنامهاورينتالچاپهنگكنگدرگزارشديروزخود :  خطا 
مرحلهاولاينطرحدرابنبابويهپايانخواهديافت :  مرحله اولاي نطر حد رابن بابويه پايان خواهديافت  
زبانوادبفارسيهمپايرشدوتوسعهكشورتلاشكنند :  خطا 
طرحزيباسازيمحوطهوپلبزرگافسريهشروعشدهاست :  طرح زيباسازي محوطه وپل بزرگا فسر يه شروعش دها ست  
روابطعموميدانشگاهعلومپزشكيايراناعلامكرد :  خطا 
خبرگزاريرويتربهنوشتهروزنامهتايمزچاپلندن :  خبرگزاري رويتربه نوشته روزنامه تايمزچاپ لندن  
تاسيسدفترنمايندگيوزارتخارجهدرگرگانگرگان :  تاسيس دفترنمايندگي وزارتخارجه درگرگان گرگان  
فدراسيونورزشهايجانبازانومعلولاناعلامكرد :  خطا 
توسعهبرنامهورزشيبرايبانوانادامهداردورزش :  توسعه برنامه ورزشي براي بانوان ادامه داردو رزش  
هرجامعهاينيازبهافراديداردكهبراساسارزشها :  خطا 
كارلبيلتنمايندهجامعهبينالملليدراموربوسني :  خطا 
مخالفتافسارگسيختهوبيضابطهگروههايسياسيبود :  مخالفت افسارگسيخته وبي ضابطه گروههاي سياسي بود  
تيمهايباشگاهيبهفوتبالكشورجانتازهايميدهند :  خطا 
حذفپيروزينايبقهرمانباشگاههايايرانرارقمزد :  حذف پيروزي نايبقهرمان باشگاههاي ايرانر ارقم زد  
اگرتلاشهايگذشتهبرايتوسعهسيستمارتباطينبود :  اگرتلاش هايگ ذشته برايت وسعه سيستم ارتباطي نبود  
مكانسايهودرنواحيگرمبايددرمحليخنككاشتهشود :  خطا 
بهيكمينزمينيكهدرمرزدوكشوركارگذاردهشدهبود :  خطا 
بهگزارشتلويزيونقطراينديداردردمشقبرگزارشد :  به گزارشت لويز يون قطراين ديداردر دمشق برگزارشد  
ايندومنطقهرزتاودريايژرفدلتايغربينامدارند :  ايندو منطقه رزتا ودرياي ژرف دلتاي غربي نامدار ند  
باهدفمحدودوكنترلكردنشركتهايچندمليتيذكركرد :  خطا 
بهزودييكمربيواليبالازكشورمانعازمدمشقميشود :  خطا 
ازواحدرسانههايخارجيافزايشتلفاتسيلدرچينپكن :  خطا 
خواستاربركناريرادوانكارادزيچسركردهصربهاشد :  خطا 
يكهواپيمايسبككهشماريازسراندولتنظامينيجريه :  خطا 
خبرگزاريفرانسهشيخحصينهواجدرهبرحزبعواميليگ :  خبرگزاري فرانسه شيخ حصينه واجدرهبر حزبعوامي ليگ  
اينگياهدرنواحيكوهستانياطرافتهراننيزميرويد :  خطا 
انتخاباتشهرداريموستارديروزبرگزارشدسارايوو :  انتخاباتش هردار يمو ستار ديروزبرگزارشد سارايوو  
محوراصليكتابهادركتابخانهمركزيكليميانايران :  خطا 
وقريبالوقوعبودنحاكميتسرمايهداريدرمجارستان :  خطا 
مديركلصنايعغذاييوداروييوزارتصنايعاعلامكرد :  خطا 
جامعهاسلاميدفاترخدماتمسافرتهواييوجهانگردي :  جامعه اسلامي دفاترخدمات مسافرته وايي وجهانگردي  
همهچيزدربارهروسيهوانتخاباترياستجمهوريمسكو :  خطا 
براثرفشارجمعيتكهميخواستندجانخودرانجاتدهند :  خطا 
ويماههابودكهازبيماريدستگاهتنفسياشرنجميبرد :  خطا 
درراستايهمكاريهايمنطقهايجمهورياسلاميايران :  خطا 
افرادخلاقچونكودكانپرسشهايسادهايمطرحميكنند :  خطا 
دربرنامهاينهفتههمايشهايعلميشبكهسراسريراديو :  خطا 
درمجموعهفرهنگيبعثتبابهرهمنديازخدماتمشاوران :  درمجموعه فرهنگي بعثت بابهره مندي ازخدمات مشاوران  
باغاعتمادتهرانتبديلبهيككتابخانهبزرگخواهدشد :  خطا 
دربيتالمقدسبابنياميننتانياهوديداروگفتگوكرد :  خطا 
ايندورهازبازيهانامبازيهايجنگسردرابهخودگرفت :  ايندوره ازبازيها نامبا زيهاي جنگ سردر ابه خودگرفت  
ميدانمكهانواعسرماخوردگيهنوزدارويدرمانندارد :  خطا 
نهادهاودستگاههايبرنامهريزكشورقرارخواهدگرفت :  خطا 
فرهانسميعاللهخانقهرمانسابقاسكواشپاكستانبود :  خطا 
بهگزارشواحدمركزيخبرمامورانمناطقانتظاميقاين :  خطا 
بهگزارشروابطعموميمعاونتاجتماعيشهرداريتهران :  به گزارش روابطعمومي معاونت اجتماعيش هردار يته ران  
اماتابهحالبهعللنامعلومياينكارصورتنگرفتهاست :  خطا 
سهشهردرسهاستانكشوربهشبكهتلفنبينالملليپيوست :  خطا 
اعلامداشتهاندكهدركنكورسراسريارديبهشتماهجاري :  خطا 
اعتبارنامهمحمدشاهيعربلونمايندههشترودتصويبشد :  اعتبارنامه محمدشاهي عربلو نماينده هشترود تصويبشد  
انگليسيهاميزبانبازيهانيزدرميدانخودتسليمشدند :  انگليسيها ميزبان بازيهانيز درميدان خودتسليم شدند  
دراينجلسهبرايحمايتازدستاندركارانتوليدپيلهتر :  خطا 
بررسيراندمانحذففلزاتسنگيندرفاضلابجنوباصفهان :  بررسي راندمان حذف فلزات سنگين درف اضل اب جنوبا صفهان  
شهادتامرياستكهدراديانشكلومحتواييخاصيافتهاست :  خطا 
حلمشكلاتجوانانبهيككارفرهنگيبسيارقوينيازدارد :  خطا 
دراينديدارقطرتوانستبايكگلميهمانخودراشكستدهد :  خطا 
متونتوسعهعليرغمكيفيبودنمقولاتيچونتوسعهسياسي :  خطا 
جهاددانشگاهيزاهداندركشورنمونهشناختهشدزاهدان :  خطا 
فرانسهتصميمدارددرجرياناجلاسسرانهفتكشورصنعتي :  خطا 
توليدخودروهايارزانتردرسايركشورهامخصوصابرزيل :  خطا 
دربزرگراهيدرنزديكيمكزيكوسيتيپايتختكشورمكزيك :  خطا 
مسابقههايگروهيكبهسرگروهيتيماماراتدرشهرابوظبي :  خطا 
بهگزارششركتكنترلكيفيتهواوابستهبهشهرداريتهران :  خطا 
تاريخچهپيدايشاصطلاحاتمهاجرتروستاييرانميدانيم :  تاريخچه پيدايش اصطلاحات مهاجرت روستايي رانمي دانيم  
اجراينمايشنامهشاهليرويليامشكسپيربهزبانفرانسه :  خطا 
دراينسميناردكترپرتويازاستادانمديريتصنعتيكشور :  خطا 
سازمانحملونقلوترافيكتهراندراطلاعيهاياعلامكرد :  خطا 
طيهفتهگذشتههوايتهراندرروزيكشنبهسومتيرماهجاري :  خطا 
چونهمهاشدرفكركشيدننقشهبرايتعطيلاتتابستانياست :  خطا 
دوامنياوردوپسازدوماهسقوطكردپسازسقوطدولتيلماز :  خطا 
شكدارمكهيكچچنكاملامستقلبتواندرويپايخودبايستد :  خطا 
ششمينالمپيادكامپيوتركشوردرزنجانبرگزارشدزنجان :  خطا 
كرهجنوبيوبوسنيدررشتههايمختلفصنعتيدردستاجراست :  خطا 
يكبمبمقابليككلوبشبانهدرمركزشهراستكهلممنفجرشد :  خطا 
تقاطعبزرگراهبعثتوخيابانشهيدلطيفيمراجعهنمايند :  تقاطع بزرگراه بعثت وخيابان شهيدلطيفي مراجعه نمايند  
نرخبهرهاينسرياوراققرضهنسبتبهگذشتهبالارفتهاست :  نرخ بهره اينسري اوراق قرضه نسبتبه گذشتهبا لار فته است  
سپاهپاسدارانانقلاباسلاميبههمينمنظورانديشمندان :  سپاه پاسداران انقلاباسلامي بهه مين منظور انديشمندان  
استفادهازاينمايهحياترابرايهمگانامكانپذيرسازند :  خطا 
درايندورازانتخاباتيلتسينوزوگانفرقابتميكنندلبد :  خطا 
براساساينبرنامهپسازانتخابمجددبايكنانبزرگسالان :  خطا 
جهتترمتابستانياقدامبهتشكيلمدرسهفوتبالنمودهاست :  خطا 
روسيهنيكلايدومفرمانعفوزندانيهايسياسيراصادركرد :  خطا 
بهگزارشواحدمركزيخبربهنقلازشبكهتلويزيونيبيبيسي :  خطا 
يكمارسميبزرگكهبهيكسراجيدربازارتهرانواردشدهبود :  خطا 
نويسندهوكارگرداناينمجموعهحسنهدايتاستواحمدنجفي :  خطا 
وزيراطلاعاتدرگردهماييبزرگمبلغانطرحهجرتدرقمگفت :  وزيراطلاعات درگردهمايي بزرگم بلغا نطر حه جرت درقم گفت  
درهفتههاياخيردوحادثهتاسفبارپياپيازدوجنسمتفاوت :  درهفته هايا خيردو حادثه تاسفبار پياپي ازدوج نس متفاوت  
عنوانهرسينازقلمافتادهبودكهبدينوسيلهتصحيحميشود :  خطا 
تزريقيموادخطرناكناشيازكشيدنسيگارراازخونميزدايد :  خطا 
پسازيكسالتلاشتحقيقاتيبهروييكيازطرحهايزيستمحيطي :  خطا 
روزنامههايتركيهديروزباانتشارمتنتوافقنامهنوشتند :  خطا 
اينعدهدريكميدانعموميدرمركزايالتهاينانمعدومشدند :  خطا 
فانگفتيكيدوروزگرسنهوتشنهباقيماندمبهعلتكوتاهيقد :  خطا 
ليتوگرافيوطرحهايهنريتولوزلوتركرابهنمايشميگذارد :  خطا 
ينستادبازيكنميانيتيموردربرمنرابهتيممليفراخواند :  خطا 
درغيبتيلتسينكهظاهرابهعلتخستگيمفرطوازدستدادنصدا :  خطا 
بخشراديولوژيوفوريتهايپزشكيبخشطالقانراهاندازيشد :  خطا 
بهگزارشتلويزيوندولتيبوسنيمقامهايفدراسيونمسلمان :  به گزارشت لويز يون دولتي بوسني مقامهاي فدرا سمس لمان  
يكيازهواپيماهايدوموتورهپروازهايداخليكشورگينهنو :  خطا 
ديروزدرشهرتيلايمكزيكسهبوميماياراباشليكگلولهكشت :  خطا 
بهگزارشخبرگزاريجمهورياسلاميازشاهرودويهمچنينگفت :  به گزارش خبرگزاري جمهوري اسلامي ازشاه رودوي همچنين گفت  
گفتگوبامسعودكيمياييازسينمايششروعشدوبهضيافترسيد :  خطا 
بهاظهارسرهنگاحسانازواحدمبارزهباموادمخدرپاكستان :  خطا 
بهگزارشواحدمركزيخبروبهنقلازشبكهتلويزيونيبيبيسي :  خطا 
باانجامرقابتهايانتخابيتيممليبدمينتونبانوانايران :  باانجام رقابتهايان تخ ابي تيمم ليب دمين تون بانوان ايران  
قاضيبرايبانومگنيكصدهزاردلارقراركفالتصادركردهاست :  خطا 
بيشازچهارهزاروسيلهنقليهرادرجادههاسرگردانكردهاست :  خطا 
باقريورحيميدرزمينشهيدرحيميموفقبهشكستچهارتيمعقاب :  خطا 
مديرعاملشركتواحداتوبوسرانيتهرانوحومههمچنينافزود :  خطا 
استانخراسانبهكرمانوبندرهايجنوبيكشورارتباطمييابد :  خطا 
خواستارتسريعدرانجامپروژههاينيمهتماماستانتهرانشد :  خواستار تسريع درانجام پروژههاي نيمه تماما ستانت هران شد  
مدتيپيشبههمراهچندنفرازدوستدارانطبيعتعزمكوهكرديم :  خطا 
كتابحاضرازلحاظخطمجموعهايازخطاطيكلاسيكرادربردارد :  خطا 
دردومينشبازمراسمگراميداشتيادوخاطرهشهيدانهفتمتير :  دردومين شباز مراسم گراميداشتي ادو خاطره شهيدان هفتم تير  
اموربازرگانيوتوزيعوامورپستوتلگرافونيروانتخابشدند :  اموربازرگاني وتوزيع وامور پستو تلگراف ونيرو انتخابشدند  
بهگزارشروابطعموميمجتمعمسابقاتدرسهمقطعسنينونهالان :  به گزارش روابطعمومي مجتمع مسابقات درسهم قطع سنين ونهال ان  
تغييراتقيمتسهامشركتهاديروزدربورستهرانبهشرحزيربود :  خطا 
مشكلنمايشدوفيلمتقديرشدهمعاونتسينماييسرويسادبوهنر :  خطا 
سرپرستدفترخدماتحقوقيبينالملليرياستجمهورياعلامكرد :  خطا 
اينپيكارهادردوردهسنيجوانانوبزرگسالانانجامخواهدشد :  خطا 
اينميزانبارندگيدركشورچيندرپنجاهسالگذشتهبيسابقهاست :  خطا 
گردبادديروزدريكصدونودكيلومتريشهرداكاپايتختبنگلادش :  خطا 
سفارتروسيهدركابلپايتختافغانستانپسازوقفهايچهارساله :  خطا 
شورشيانسابقكنترادرشمالنيكاراگواكهدوبارهمسلحشدهاند :  خطا 
بهمنظورعبورومرورروانخودروهاوجلوگيريازميزانتصادفات :  بهمن ظور عبورومرور روان خودروهاو جلوگيري ازميزان تصادفات  
بههميندليلبحثوبررسيوبرنامهريزيدراينزمينهضرورتدارد :  بهه ميندل يل بحث وبررسي وبرنامه ريزيد راينز مينه ضرورت دارد  
امادراينشهرمتاسفانهحتييكزمينچمناستانداردوجودندارد :  خطا 
اولينفيلمكارتونيتماماكامپيوتريچينديروزواردبازارشد :  خطا 
دراينسهديدارحياتيكهدرچارچوبرقابتهايجامجهانيانجامشد :  خطا 
پيررسيداحمدگيلانيرهبرحزبمحاذمليومولويمحمدنبويمحمدي :  پيرر سيداحمدگيلاني رهبرحزب محاذ ملي ومولوي محمد نبوي ي  
هانريبرگسونبهعنواناستادفيلسوفدركالجفرانسهبرگزيدهشد :  خطا 
پنجميناجلاسسهجانبهوزيرانامورخارجهجمهورياسلاميايران :  پنجمين اجلاس سه جانبه وزيران امورخارجه جمهوري اسلامي ايران  
تنديسكارگرپتروشيميدركارگاهمجسمهسازيحوزههنريساختهشد :  خطا 
قرارگرفتندرمعرضمهدودهمچنينباعثاحساسفشاردرناحيهسينه :  قرارگرفتند رم عرضم هدو دهم چنين باعث احساس فشاردر ناحيه سينه  
لاريمديركلبرقوالكترونيكوزارتصنايعبهواحدمركزيخبرگفت :  خطا 
مقامهايمكزيكيوچريكهايزاپاتيستاششتوافقنامهامضاكردند :  خطا 
واليبالحذفيباشگاههايتهرانرقابتهاييفاقدشورونشاطلازم :  واليبال حذفي باشگاههاي تهران رقابتهايي فاقدش ورون شا طلا زم  
يكيازكارشناسانمحيطزيستدرگفتوگوباهمشهريخاطرنشانساخت :  خطا 
بهميندليلدوساناوهرينبعنوانبهترينمربيجامدهمانتخابشد :  بهمين دليل دوسان اوهرين بعنوان بهترينم ربي جامده مانت خاب شد  
توانقوياقتصاديتاچهحدميتواندتوجيهكنندهقانونشكنيباشد :  خطا 
ايندومينهواپيمايايرايوراستكهدردوسالاخيرسقوطكردهاست :  خطا 
اعطايتسهيلاتبهسرمايهگذاراندرصنعتتوريسمدركاشانكاشان :  خطا 
مشاركتگستردهمردميدربهثمررسيدنطرحهايبزرگوكوچكعمراني :  خطا 
هدفشهرداريتهرانازپرداختنبهورزشبانوانترسيمرونديصحيح :  هدفش هردار يته رانا زپ رداخت نبه ورزش بانوان ترسيم روندي صحيح  
دومرحلهنخستاينرقابتهادرشهرهايشيرازومشهدبرگزارشدهبود :  دومرحله نخست اين رقابتهادر شهرهايش يرا زوم شهد برگزارشده بود  
ايننمايشگاهكهبيستويكميندورهنمايشگاههايخانهعكاساناست :  خطا 
پزشكمتوصيهكردهاستتحتعملجراحيبرايدرمانفتقشكمقرارگيرم :  خطا 
اهدافمشتركبلندپروازانهباسيرصعوديكهصنعتژرمنهاطيميكند :  خطا 
استيوتسيچفيلمنامهنويسمعروفوبرندهجايزهاسكاردراينرشته :  خطا 
مديرعاملسازمانكشاورزيبنيادمستضعفانوجانبازاناعلامكرد :  خطا 
علاقمندانجهتثبتنامميتوانندبهفرهنگسرايسروخيابانوليعصر :  علاقمندان جهت ثبت نامم يت وان ندبه فرهنگسراي سرو خيابان وليعصر  
ميدانالغديروچندينمعبرعموميديگركارنصبتابلوهاياطلاعاتي :  خطا 
نمايشهملتازسومتيردرموسسهدانشگاهيرسامهنربهصحنهرفتهاست :  نمايش هملت ازسوم تيردر موسسه دانشگاهي رسام هنربه صحنه رفتها ست  
باشگاهاتومبيلازدولتفرانسهخواستبرايكمكبهصنعتخودروسازي :  خطا 
برنزيازحشراتتغذيهنمودهورويساقههاينازكگياهظاهرميگردند :  خطا 
بعدازظهرديروزدرمياناستقبالپرشوروشادمانيمردمجنوبتهران :  بعدازظهرديروز درميان استقبال پرشورو شادمانيم ردم جنوبتهران  
بربالامواجخبرينشستهوناموتصويرويازشبكههايخبريتلويزيوني :  خطا 
درمناطقداخليدورازساحلدريامستقرشدندوسهجمهوريمستقلناتال :  درمناطق داخلي دوراز ساحل دريا مستقرشدند وسه جمهوري مستقل ناتال  
همزمانباپانزدهمينسالگردانفجاردفترمركزيحزبجمهورياسلامي :  خطا 
عدهايازمردممعتقدبودندكهيككفتاركودكانشانراميكشدوميخورد :  خطا 
دانشگاهعلومپزشكيايراندراطلاعيهايكهبههميندليلمنتشركرده :  خطا 
اينگفتگوهادرپيدستگيريدوتنازهوادارانزاپاتيستاقطعشدهبود :  اينگ فت گوها درپي دستگيري دوتن ازهواداران زاپاتيستا قطعش دهب ود  
درختياستكوچكوهميشهسبزدارايبرگهايمنفردوبزرگبادمبرگكوتاه :  خطا 
تيمهايشركتكنندهدراينرقابتهابهدوگروهبهشرحذيلتقسيمشدهاند :  خطا 
بازارنفتباركودمواجهشدوميزانمعاملاتتاسطحچشمگيريكاهشيافت :  خطا 
درجلسهديروزهياتوزيرانلايحهانتشاراوراقمشاركتبهتصويبرسيد :  خطا 
نخستيندورهكارگاهيواحدنمايشحوزههنريويژهتعزيهبرگزارميشود :  خطا 
نتايجتفحصيكهشالودهاينگزارشراشكلدادهاستنشانميدهدكهچگونه :  خطا 
موافقتنامههواييميانجمهورياسلاميايرانواسپانيابهامضارسيد :  موافقتنامه هواييم يان جمهوري اسلامي ايرانو اسپانيابه امضارسيد  
طرحبهسازيمدارسازامروزبهمدتيكهفتهدرسراسركشوراجراخواهدشد :  خطا 
ويهمچنيناضافهكردكهاهدافعمدهاينهمايشدوروزهبررسينظامقضايي :  خطا 
هفتمتيربرايانقلابمايكفصلجديديرابازكردوحقيقتانقطهيعطفيشد :  خطا 
كاهشامكاناتتماسومراودهاجتماعيبهصورتمستقيموچهرهبهچهرهاست :  خطا 
تماميعلاقهمندانبهشركتدرمسابقاتميتوانندبهشرحزيراقدامكنند :  خطا 
بهصورتنوعيستهوناشكوفااستكهابتداسبزرنگوپسازرسيدنبهرنگزرد :  خطا 
براثرسقوطيكهليكوپترنظاميفرانسهنزديكشهربوردوسهتنكشتهشدند :  خطا 
زيرادرانتخاباتاخيراينكشوربهنمايندگيپارلمانبرگزيدهشدهاست :  خطا 
سرتيپسيفاللهيفرماندهنيرويانتظاميدرگفتگوباخبرنگارانافزود :  سرتيپ سيفا للهي فرمانده نيرويا نتظامي درگفتگوباخبرنگاران افزود  
فرهنگسرايبهمنازتهرانوحملونقلپايانههايگيلانازرشتشركتدارند :  خطا 
سومينايالتهنداستكهخريدوفروشوتوليدموادالكليراغيرقانونيكرد :  خطا 
درشيشهنوشابهغيرالكلياومرگموشريختهبودبهپنجسالزندانمحكومشد :  خطا 
بايدازابزارمدرنبرايتبليغاسلاموانقلاباستفادهشودسرويسسياسي :  بايداز ابزارم درن برايت بليغ اسلام وانقلاب استفاده شود سرويس سياسي  
بافتقديمشهرهايتاريخيايرانراپاسبداريموجودساختمانهايتاريخي :  بافت قديمش هرهاي تاريخي ايرانر اپاس بداريم وجودساختمانهاي  
دربرنامهاينهفتهميزگردهفتهشبكهسراسريصدايجمهورياسلاميايران :  خطا 
كاركنانصادقبانكهادراينمناطقتنهابهاينمختصرمزايادلخوشهستند :  خطا 
بهاينترتيبكهتوزيعپستشهريراتوسطخودروهايكوچكبرقيانجامميدهد :  خطا 
بيشترينافزايشقيمتديروزمربوطبهسهامشركتسرمايهگذاريالبرزبود :  خطا 
بهدلايلمتعددكمترازسطحعموميقيمتهادركشورافزايشقيمتداشتهاست :  خطا 
يكساختمانسهطبقهدرايالتفوجيانديروزدرجنوبشرقيكشورچينفروريخت :  خطا 
نمايندهمجلسدرهياتنظارتبرمطبوعاتامروزانتخابميشودسرويسسياسي :  نماينده مجلس درهيات نظارت برمطبوعات امروزا نتخاب ميشود سرويس سياسي  
درپيحضوريكهفتهايحسينحسينييكيازمربيانتيمواليبالپيكاندرمسكو :  خطا 
اجلاسسرانعربامروزدرميانتدابيرشديدامنيتيدرقاهرهگشايشمييابد :  اجلاس سران عرب امروزدر ميانت دابي رشدي دامني تيد رقا هره گشايش مييابد  
مسابقههايفوتبالجامحذفيكشورروزگذشتهدرمرحلهيكشانزدهمدنبالشد :  خطا 
ايندرستاستكهدختربچههايمضطربوعصبيكوتاهترازدخترانديگرميشوند :  خطا 
نمايندگانمجلسشوراياسلاميدرمجامعوسازمانهاياجراييانتخابشدند :  نمايندگان مجلسش وراي اسلامي درمجامع وسازمانهاي اجرايي انتخابشدند  
سازمانبرنامهوبودجهازافزايشتوليدوتوسعهصنعتپتروشيميحمايتكند :  خطا 
بهگزارشواحدمركزيخبرازدهليدراينهمايشكهجمعكثيريازانديشمندان :  خطا 
درفروشگاهرفاهمدرنترينوچشمگيرترينفروشگاهزنجيرهايتهرانهستيم :  درفروشگاه رفاه مدرنترين وچشمگير ترين فروشگاه زنجيرهاي تهرانه ستيم  
گردبادوتوفانبيسابقهايپريشبيكروستايروسيرادرجنوبولگاويرانكرد :  خطا 
ازچهارغولبزرگفوتبالاروپاكهپيشبينيميشدبهمرحلهنيمهنهاييبرسند :  خطا 
كشورهاياروپاييخواهانادامهروابطتجاريوسياستگفتگوباايرانهستند :  خطا 
درچندروزگذشتهسيلابهايمرگزابخشبزرگيازكشورعمانرادرنورديدهاست :  خطا 
سخنگويوزارتامورخارجهضمناستقبالازنفسبرگزارياجلاساخيرسرانعرب :  سخنگوي وزارت امورخارجه ضمنا ستقبال ازنفس برگزاري اجلاس اخيرسران عرب  
ورزشيواردوگاههاياينسازماناستفادهميكنندكهدرپنجاردوگاهبابلسر :  خطا 
درنخستينسمينارجمعيتكهبهمناسبتروزجهانيجمعيتدرتهرانبرپاشدهاست :  خطا 
كسانيكهدرشرايطسختوتاريكبرايپيريزياسلامسرمايهگذاريوتلاشكردند :  خطا 
جمشيديوشهيدمرغوبكاردرمحلمجموعهورزشيدهداريبهمدتسهروزبرگزارشد :  خطا 
اعتبارنامهحميدبهرامينمايندهرفسنجانبصورتعاديدرمجلسبررسيميشود :  اعتبارنامه حميدبهرامي نماينده رفسنجان بصورت عادي درمجلس بررسيم يش ود  
ازديدگاههايوزيرخارجهروسيهدربارهبحرانتاجيكستانابرازخشنوديكرد :  خطا 
ازاينروواشنگتنمجبوربهتشديدتدابيرامنيتيدراطرافمراكزخودشدهاست :  خطا 
ازاينگياهجهتتهيهفراوردههايداروييبرايبهداشتپوستاستفادهميكنند :  خطا 
مجلسشوراياسلاميباصدوربيانيهايضمنگراميداشتيادوخاطرهاينشهيدان :  مجلسش وراي اسلامي باصدوربيانيه اي ضمن گراميداشتي ادو خاطره نشه يدان  
گفتگوبافرزانهباباييطراحوسازندهعروسكفيلمازمراحلكاريخودبگوييد :  خطا 
بانيانفاجعههفتمتيرباهدفضربهواردكردنبهاساسموجوديتنظاموانقلاب :  خطا 
كاردستيونمايشباعنوانبچههابياييدتهرانرابهتربشناسيمبرگزارميكند :  خطا 
ويهمچنيندرنظرداردساختمانجديديبرايموزههنريهايزيبايهوستونبسازد :  ويه مچنين درنظردارد ساختمان جديدي برايم وزه هنري هايز يبا يهو ستون بسازد  
بيماريايدزازطريقگازگرفتنبادنداننيزازبيماربهفردسالممنتقلميشود :  بيماري ايدزاز طريق گازگرفتن بادندان نيزاز بيماربه فردس الم منتقلم يش ود  
درگيريواختلافدرافغانستانبرهيچمنطقياستوارنيستوعلاوهبربرادركشي :  خطا 
بدينساندرفضايعينيوذهنيزندگيمسلمانانكهبهطورعمدهتحتاستيلايتغلب :  خطا 
سازمانمللدرموردطرحفروشنفتدرمقابلغذاكهباتاخيرزياديروبروشدهاست :  خطا 
درپيوقوعفاجعهسيلدرشمالايتالياكهباعثنابوديدودهكدهومرگدههاتنشد :  خطا 
حسينشاهاردنديروزبامالكومريفكيندوزيرخارجهانگليسديداروگفتگوكرد :  خطا 
انجامشدوتيمجوانانايراندرگروهدوباتيمهايكرهجنوبيومالزيقرارگرفت :  خطا 
ديميتريتسيكوريسدراينديدارباابرازخرسنديازانجامماموريتدركشورمان :  خطا 
طرحخدماتچهارگانهگواهينامهرانندگيتوسطپستدرسراسركشوراجراخواهدشد :  خطا 
نشريهفرانسويليبراسيونضمنرداتهامدخالتايراندرانفجارظهرانعربستان :  نشريه فرانسوي ليبراسيون ضمن رداتهام دخالت ايراند ران فجار ظه عربستان  
توزيعيوخدماتيازمركزمليشمارهگذاريكالاوخدماتايراندروزارتبازرگاني :  خطا 
مسافرانباهليكوپترهاينجاتوناوچههايگاردساحليدوكشوربهساحلبردهشدند :  خطا 
